✓ 收到  workloadf  [process_num_10] 2025-04-18_23-39-03---workloadf  262,735.48 ops/s  AvgPwr: 875.25 W, StartPwr: 792 W, Δ: 83.25 W
✓ 收到  workloadf  [process_num_10] 2025-04-19_09-26-48---workloadf  264,611.28 ops/s  AvgPwr: 864.80 W, StartPwr: 792 W, Δ: 72.80 W
✓ 收到  workloadf  [process_num_10] 2025-04-19_12-42-57---workloadf  263,577.91 ops/s  AvgPwr: 869.25 W, StartPwr: 780 W, Δ: 89.25 W
✓ 收到  workloadf  [process_num_10] 2025-04-19_02-54-57---workloadf  261,386.23 ops/s  AvgPwr: 862.50 W, StartPwr: 792 W, Δ: 70.50 W
✓ 收到  workloadf  [process_num_10] 2025-04-18_20-23-03---workloadf  267,232.93 ops/s  AvgPwr: 872.25 W, StartPwr: 780 W, Δ: 92.25 W
✓ 收到  workloada  [process_num_10] 2025-04-19_12-40-30---workloada  279,589.70 ops/s  AvgPwr: 872.80 W, StartPwr: 792 W, Δ: 80.80 W
✓ 收到  workloada  [process_num_10] 2025-04-18_23-36-36---workloada  285,640.63 ops/s  AvgPwr: 868.80 W, StartPwr: 792 W, Δ: 76.80 W
✓ 收到  workloada  [process_num_10] 2025-04-19_09-24-22---workloada  283,897.24 ops/s  AvgPwr: 871.71 W, StartPwr: 792 W, Δ: 79.71 W
✓ 收到  workloada  [process_num_10] 2025-04-18_20-20-36---workloada  282,172.87 ops/s  AvgPwr: 872.00 W, StartPwr: 792 W, Δ: 80.00 W
✓ 收到  workloadf  [process_num_10] 2025-04-19_06-10-50---workloadf  262,572.85 ops/s  AvgPwr: 885.00 W, StartPwr: 792 W, Δ: 93.00 W
✓ 收到  workloada  [process_num_10] 2025-04-19_06-08-23---workloada  276,489.07 ops/s  AvgPwr: 873.60 W, StartPwr: 792 W, Δ: 81.60 W
✓ 收到  workloada  [process_num_10] 2025-04-19_02-52-31---workloada  277,404.53 ops/s  AvgPwr: 876.00 W, StartPwr: 792 W, Δ: 84.00 W
✓ 收到  workloadf  [process_num_60] 2025-04-22_17-16-37---workloadf  740,215.81 ops/s  AvgPwr: 997.71 W, StartPwr: 804 W, Δ: 193.71 W
✓ 收到  workloadf  [process_num_60] 2025-04-18_20-53-23---workloadf  761,256.00 ops/s  AvgPwr: 1032.00 W, StartPwr: 792 W, Δ: 240.00 W
✓ 收到  workloada  [process_num_60] 2025-04-19_03-21-33---workloada  775,423.46 ops/s  AvgPwr: 1008.77 W, StartPwr: 780 W, Δ: 228.77 W
✓ 收到  workloada  [process_num_60] 2025-04-19_06-37-27---workloada  755,024.83 ops/s  AvgPwr: 1016.12 W, StartPwr: 780 W, Δ: 236.12 W
✓ 收到  workloada  [process_num_60] 2025-04-22_18-59-53---workloada  755,528.74 ops/s  AvgPwr: 1044.00 W, StartPwr: 840 W, Δ: 204.00 W
✓ 收到  workloada  [process_num_60] 2025-04-19_09-53-25---workloada  760,635.66 ops/s  AvgPwr: 1018.24 W, StartPwr: 816 W, Δ: 202.24 W
✓ 收到  workloadf  [process_num_60] 2025-04-19_03-25-17---workloadf  752,361.68 ops/s  AvgPwr: 1014.17 W, StartPwr: 816 W, Δ: 198.17 W
✓ 收到  workloada  [process_num_60] 2025-04-19_13-09-29---workloada  757,940.50 ops/s  AvgPwr: 1021.16 W, StartPwr: 792 W, Δ: 229.16 W
✓ 收到  workloadf  [process_num_60] 2025-04-22_19-03-33---workloadf  757,604.66 ops/s  AvgPwr: 1052.73 W, StartPwr: 840 W, Δ: 212.73 W
✓ 收到  workloadf  [process_num_60] 2025-04-19_09-57-11---workloadf  748,675.85 ops/s  AvgPwr: 1031.29 W, StartPwr: 780 W, Δ: 251.29 W
✓ 收到  workloadf  [process_num_60] 2025-04-19_00-09-26---workloadf  737,601.44 ops/s  AvgPwr: 1016.82 W, StartPwr: 792 W, Δ: 224.82 W
✓ 收到  workloada  [process_num_60] 2025-04-22_16-09-32---workloada  717,844.96 ops/s  AvgPwr: 995.64 W, StartPwr: 804 W, Δ: 191.64 W
✓ 收到  workloada  [process_num_60] 2025-04-18_20-49-39---workloada  772,451.97 ops/s  AvgPwr: 1018.18 W, StartPwr: 792 W, Δ: 226.18 W
✓ 收到  workloada  [process_num_60] 2025-04-22_17-12-40---workloada  750,372.40 ops/s  AvgPwr: 995.00 W, StartPwr: 804 W, Δ: 191.00 W
✓ 收到  workloadf  [process_num_60] 2025-04-19_06-41-13---workloadf  748,958.63 ops/s  AvgPwr: 1013.03 W, StartPwr: 780 W, Δ: 233.03 W
✓ 收到  workloada  [process_num_60] 2025-04-19_00-05-39---workloada  748,754.42 ops/s  AvgPwr: 1022.12 W, StartPwr: 780 W, Δ: 242.12 W
✓ 收到  workloadf  [process_num_60] 2025-04-19_13-13-12---workloadf  752,547.16 ops/s  AvgPwr: 1021.16 W, StartPwr: 780 W, Δ: 241.16 W
✓ 收到  workloadf  [process_num_50] 2025-04-22_17-24-18---workloadf  655,962.32 ops/s  AvgPwr: 997.20 W, StartPwr: 804 W, Δ: 193.20 W
✓ 收到  workloada  [process_num_50] 2025-04-19_06-30-37---workloada  751,669.23 ops/s  AvgPwr: 1015.86 W, StartPwr: 780 W, Δ: 235.86 W
✓ 收到  workloada  [process_num_50] 2025-04-22_17-20-40---workloada  687,378.93 ops/s  AvgPwr: 981.00 W, StartPwr: 804 W, Δ: 177.00 W
✓ 收到  workloadf  [process_num_50] 2025-04-19_00-02-13---workloadf  746,204.28 ops/s  AvgPwr: 1007.20 W, StartPwr: 780 W, Δ: 227.20 W
✓ 收到  workloadf  [process_num_50] 2025-04-18_20-46-12---workloadf  740,153.75 ops/s  AvgPwr: 1012.97 W, StartPwr: 816 W, Δ: 196.97 W
✓ 收到  workloada  [process_num_50] 2025-04-22_18-53-12---workloada  758,859.45 ops/s  AvgPwr: 1044.00 W, StartPwr: 828 W, Δ: 216.00 W
