✓ 收到  workloadf  [process_num_10] 2025-04-19_08-16-29---workloadf  104,289.56 ops/s  AvgPwr: 859.71 W, StartPwr: 780 W, Δ: 79.71 W
✓ 收到  workloada  [process_num_10] 2025-04-19_01-41-17---workloada  106,290.42 ops/s  AvgPwr: 856.20 W, StartPwr: 792 W, Δ: 64.20 W
✓ 收到  workloada  [process_num_10] 2025-04-19_11-29-11---workloada  106,258.84 ops/s  AvgPwr: 857.85 W, StartPwr: 792 W, Δ: 65.85 W
✓ 收到  workloada  [process_num_10] 2025-04-21_16-45-29---workloada  107,530.04 ops/s  AvgPwr: 875.10 W, StartPwr: 804 W, Δ: 71.10 W
✓ 收到  workloada  [process_num_10] 2025-04-18_22-25-33---workloada  106,339.62 ops/s  AvgPwr: 856.10 W, StartPwr: 792 W, Δ: 64.10 W
✓ 收到  workloadf  [process_num_10] 2025-04-19_05-00-32---workloadf  104,639.47 ops/s  AvgPwr: 854.34 W, StartPwr: 792 W, Δ: 62.34 W
✓ 收到  workloada  [process_num_10] 2025-04-18_19-09-22---workloada  107,020.81 ops/s  AvgPwr: 860.40 W, StartPwr: 792 W, Δ: 68.40 W
✓ 收到  workloadf  [process_num_10] 2025-04-18_22-29-00---workloadf  104,316.00 ops/s  AvgPwr: 856.98 W, StartPwr: 792 W, Δ: 64.98 W
✓ 收到  workloada  [process_num_10] 2025-04-19_04-57-05---workloada  107,094.41 ops/s  AvgPwr: 862.83 W, StartPwr: 792 W, Δ: 70.83 W
✓ 收到  workloadf  [process_num_10] 2025-04-18_19-12-47---workloadf  104,025.44 ops/s  AvgPwr: 861.30 W, StartPwr: 792 W, Δ: 69.30 W
✓ 收到  workloadf  [process_num_10] 2025-04-19_11-32-38---workloadf  104,119.99 ops/s  AvgPwr: 871.14 W, StartPwr: 792 W, Δ: 79.14 W
✓ 收到  workloadf  [process_num_10] 2025-04-19_01-44-42---workloadf  103,614.64 ops/s  AvgPwr: 860.70 W, StartPwr: 792 W, Δ: 68.70 W
✓ 收到  workloadf  [process_num_10] 2025-04-21_16-48-55---workloadf  105,454.86 ops/s  AvgPwr: 876.60 W, StartPwr: 804 W, Δ: 72.60 W
✓ 收到  workloada  [process_num_10] 2025-04-19_08-13-04---workloada  106,516.45 ops/s  AvgPwr: 855.60 W, StartPwr: 792 W, Δ: 63.60 W
✓ 收到  workloadf  [process_num_60] 2025-04-19_02-21-33---workloadf  601,539.53 ops/s  AvgPwr: 1017.16 W, StartPwr: 792 W, Δ: 225.16 W
✓ 收到  workloada  [process_num_60] 2025-04-18_19-45-38---workloada  626,504.52 ops/s  AvgPwr: 1004.73 W, StartPwr: 792 W, Δ: 212.73 W
✓ 收到  workloadf  [process_num_60] 2025-04-19_05-37-27---workloadf  612,939.94 ops/s  AvgPwr: 1022.46 W, StartPwr: 780 W, Δ: 242.46 W
✓ 收到  workloada  [process_num_60] 2025-04-18_23-01-56---workloada  628,540.46 ops/s  AvgPwr: 1016.53 W, StartPwr: 792 W, Δ: 224.53 W
✓ 收到  workloadf  [process_num_60] 2025-04-18_19-49-41---workloadf  606,752.04 ops/s  AvgPwr: 1010.13 W, StartPwr: 792 W, Δ: 218.13 W
✓ 收到  workloada  [process_num_60] 2025-04-19_08-49-25---workloada  632,353.14 ops/s  AvgPwr: 1014.81 W, StartPwr: 780 W, Δ: 234.81 W
✓ 收到  workloada  [process_num_60] 2025-04-19_02-17-30---workloada  625,247.37 ops/s  AvgPwr: 1012.00 W, StartPwr: 780 W, Δ: 232.00 W
✓ 收到  workloada  [process_num_60] 2025-04-19_05-33-24---workloada  628,553.92 ops/s  AvgPwr: 1017.54 W, StartPwr: 792 W, Δ: 225.54 W
✓ 收到  workloadf  [process_num_60] 2025-04-19_12-09-32---workloadf  610,614.99 ops/s  AvgPwr: 1004.35 W, StartPwr: 792 W, Δ: 212.35 W
✓ 收到  workloadf  [process_num_60] 2025-04-19_08-53-27---workloadf  610,558.48 ops/s  AvgPwr: 1015.50 W, StartPwr: 780 W, Δ: 235.50 W
✓ 收到  workloada  [process_num_60] 2025-04-19_12-05-28---workloada  630,664.60 ops/s  AvgPwr: 991.91 W, StartPwr: 780 W, Δ: 211.91 W
✓ 收到  workloadf  [process_num_60] 2025-04-18_23-05-59---workloadf  609,696.89 ops/s  AvgPwr: 1004.29 W, StartPwr: 780 W, Δ: 224.29 W
✓ 收到  workloada  [process_num_50] 2025-04-19_11-57-42---workloada  524,229.77 ops/s  AvgPwr: 1004.53 W, StartPwr: 792 W, Δ: 212.53 W
✓ 收到  workloadf  [process_num_50] 2025-04-19_05-29-30---workloadf  517,740.34 ops/s  AvgPwr: 1008.65 W, StartPwr: 792 W, Δ: 216.65 W
✓ 收到  workloada  [process_num_50] 2025-04-19_08-41-39---workloada  540,319.71 ops/s  AvgPwr: 998.51 W, StartPwr: 780 W, Δ: 218.51 W
✓ 收到  workloadf  [process_num_50] 2025-04-19_12-01-33---workloadf  518,775.42 ops/s  AvgPwr: 1008.32 W, StartPwr: 792 W, Δ: 216.32 W
✓ 收到  workloada  [process_num_50] 2025-04-18_22-54-08---workloada  513,992.21 ops/s  AvgPwr: 1003.14 W, StartPwr: 792 W, Δ: 211.14 W
✓ 收到  workloadf  [process_num_50] 2025-04-19_08-45-31---workloadf  504,621.84 ops/s  AvgPwr: 1020.57 W, StartPwr: 792 W, Δ: 228.57 W
✓ 收到  workloada  [process_num_50] 2025-04-18_19-37-49---workloada  503,639.88 ops/s  AvgPwr: 1012.47 W, StartPwr: 780 W, Δ: 232.47 W
✓ 收到  workloadf  [process_num_50] 2025-04-18_19-41-43---workloadf  513,118.48 ops/s  AvgPwr: 1001.02 W, StartPwr: 792 W, Δ: 209.02 W
✓ 收到  workloadf  [process_num_50] 2025-04-18_22-58-03---workloadf  519,032.86 ops/s  AvgPwr: 1007.12 W, StartPwr: 792 W, Δ: 215.12 W
✓ 收到  workloada  [process_num_50] 2025-04-19_02-09-42---workloada  524,602.74 ops/s  AvgPwr: 1011.63 W, StartPwr: 792 W, Δ: 219.63 W
✓ 收到  workloada  [process_num_50] 2025-04-19_05-25-38---workloada  535,533.65 ops/s  AvgPwr: 990.98 W, StartPwr: 780 W, Δ: 210.98 W
✓ 收到  workloadf  [process_num_50] 2025-04-19_02-13-37---workloadf  523,651.37 ops/s  AvgPwr: 999.47 W, StartPwr: 792 W, Δ: 207.47 W
